prompt_id,category,level,domain,target_smells,syntax_ok,loc,cc_max,mi,ruff_total,undefined_name,unused_var,n_smells,smells_found,target_covered,target_hit,model,lang
alternative_classes_different_interfaces_basic_006,alternative_classes_different_interfaces,basic,E-commerce,Alternative Classes with Different Interfaces,1,19,2,100.0,2,0,0,7,Duplicated Code;Global State;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_intermediate_001,alternative_classes_different_interfaces,intermediate,Finance,Alternative Classes with Different Interfaces,1,36,2,100.0,0,0,0,9,Duplicated Code;Global State;Magic Numbers/Strings,0,,codellama-7b,en
alternative_classes_different_interfaces_intermediate_002,alternative_classes_different_interfaces,intermediate,Healthcare,Alternative Classes with Different Interfaces,1,26,2,100.0,0,0,0,5,Duplicated Code;Message Chains,0,,codellama-7b,en
alternative_classes_different_interfaces_intermediate_003,alternative_classes_different_interfaces,intermediate,Scientific Computing,Alternative Classes with Different Interfaces,1,25,2,100.0,3,0,0,11,Duplicated Code;Feature Envy;Global State;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_intermediate_004,alternative_classes_different_interfaces,intermediate,General Software,Alternative Classes with Different Interfaces,1,14,2,100.0,0,0,0,5,Duplicated Code;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_intermediate_005,alternative_classes_different_interfaces,intermediate,E-commerce,Alternative Classes with Different Interfaces,0,162,0,,1,0,0,0,,0,,codellama-7b,en
comments_smell_advanced_001,comments_smell,advanced,E-commerce,Comments (as smell indicator),1,74,0,100.0,0,0,0,0,,1,0,codellama-7b,en
comments_smell_advanced_002,comments_smell,advanced,Finance,Comments (as smell indicator),1,53,4,80.19,3,2,0,10,Comments (as smell indicator);Dead Code;Feature Envy;Global State;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
comments_smell_advanced_003,comments_smell,advanced,Healthcare,Comments (as smell indicator),0,136,0,,2,0,0,5,Long Method;Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
comments_smell_advanced_004,comments_smell,advanced,Scientific Computing,Comments (as smell indicator),1,62,0,85.16,0,0,0,15,Comments (as smell indicator);Global State;Magic Numbers/Strings,1,1,codellama-7b,en
comments_smell_basic_001,comments_smell,basic,E-commerce,Comments (as smell indicator),1,15,3,99.39,0,0,0,0,,1,0,codellama-7b,en
comments_smell_basic_002,comments_smell,basic,Finance,Comments (as smell indicator),1,61,2,54.85,0,0,0,9,Duplicated Code,1,0,codellama-7b,en
comments_smell_basic_003,comments_smell,basic,Healthcare,Comments (as smell indicator),1,17,1,100.0,0,0,0,2,Comments (as smell indicator),1,1,codellama-7b,en
comments_smell_basic_004,comments_smell,basic,Scientific Computing,Comments (as smell indicator),1,4,1,100.0,0,0,0,0,,1,0,codellama-7b,en
comments_smell_basic_005,comments_smell,basic,General Software,Comments (as smell indicator),1,66,1,36.41,0,0,0,6,Duplicated Code,1,0,codellama-7b,en
comments_smell_intermediate_001,comments_smell,intermediate,E-commerce,Comments (as smell indicator),1,92,4,76.99,1,0,0,11,Comments (as smell indicator);Dead Code;Duplicated Code;Global State;Magic Numbers/Strings,1,1,codellama-7b,en
comments_smell_intermediate_002,comments_smell,intermediate,Finance,Comments (as smell indicator),1,188,5,43.28,4,0,3,20,Data Clumps;Dead Code;Duplicated Code;Long Method;Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
comments_smell_intermediate_003,comments_smell,intermediate,Healthcare,Comments (as smell indicator),1,43,4,83.28,1,0,0,10,Comments (as smell indicator);Dead Code;Global State;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
comments_smell_intermediate_004,comments_smell,intermediate,Scientific Computing,Comments (as smell indicator),1,71,4,78.28,8,7,0,13,Duplicated Code;Global State;Long Method;Magic Numbers/Strings,1,0,codellama-7b,en
comments_smell_intermediate_005,comments_smell,intermediate,General Software,Comments (as smell indicator),0,140,0,,1,0,0,1,Long Method,1,0,codellama-7b,en
data_class_advanced_001,data_class,advanced,Finance,Data Class,1,78,2,100.0,1,0,0,87,Data Class;Duplicated Code;God Class / Large Class;Long Parameter List,1,1,codellama-7b,en
data_class_advanced_002,data_class,advanced,Healthcare,Data Class,1,42,2,100.0,1,0,0,54,Data Class;Duplicated Code;God Class / Large Class;Long Parameter List,1,1,codellama-7b,en
data_class_advanced_003,data_class,advanced,Scientific Computing,Data Class,1,34,2,100.0,1,0,0,33,Data Class;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_class_advanced_004,data_class,advanced,General Software,Data Class,1,79,2,100.0,1,0,0,120,Data Class;Duplicated Code;God Class / Large Class;Long Parameter List,1,1,codellama-7b,en
data_class_advanced_005,data_class,advanced,E-commerce,Data Class,1,38,2,100.0,1,0,0,38,Data Class;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_class_basic_001,data_class,basic,E-commerce,Data Class,1,38,2,100.0,0,0,0,18,Duplicated Code;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_basic_002,data_class,basic,Finance,Data Class,1,47,2,100.0,0,0,0,37,Duplicated Code;God Class / Large Class;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_basic_003,data_class,basic,Healthcare,Data Class,1,47,2,100.0,0,0,0,35,Duplicated Code;God Class / Large Class;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_basic_004,data_class,basic,Scientific Computing,Data Class,1,22,2,100.0,0,0,0,13,Data Class;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_class_basic_005,data_class,basic,General Software,Data Class,1,9,2,100.0,0,0,0,1,Duplicated Code,1,0,codellama-7b,en
data_class_basic_006,data_class,basic,E-commerce,Data Class,1,38,2,100.0,0,0,0,18,Duplicated Code;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_intermediate_001,data_class,intermediate,Finance,Data Class,1,78,2,100.0,1,0,0,78,Data Class;Duplicated Code;God Class / Large Class;Long Parameter List,1,1,codellama-7b,en
data_class_intermediate_002,data_class,intermediate,Healthcare,Data Class,1,46,2,100.0,1,0,0,35,Data Class;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_class_intermediate_003,data_class,intermediate,Scientific Computing,Data Class,1,83,2,100.0,1,0,0,94,Duplicated Code;God Class / Large Class;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_intermediate_004,data_class,intermediate,General Software,Data Class,1,74,2,100.0,1,0,0,89,Duplicated Code;God Class / Large Class;Long Parameter List;Temporary Field,1,0,codellama-7b,en
data_class_intermediate_005,data_class,intermediate,E-commerce,Data Class,1,62,2,100.0,1,0,0,63,Data Class;Duplicated Code;God Class / Large Class;Long Parameter List,1,1,codellama-7b,en
data_clumps_advanced_001,data_clumps,advanced,Healthcare,Data Clumps,1,37,2,100.0,1,0,0,9,Duplicated Code;Global State;Long Parameter List;Magic Numbers/Strings;Speculative Generality,1,0,codellama-7b,en
data_clumps_advanced_002,data_clumps,advanced,Scientific Computing,Data Clumps,1,69,13,69.32,8,0,0,13,Data Clumps;Dead Code;Duplicated Code;Long Method;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
data_clumps_advanced_003,data_clumps,advanced,General Software,Data Clumps,1,38,2,100.0,0,0,0,34,Duplicated Code;Global State;Long Parameter List;Magic Numbers/Strings;Speculative Generality,1,0,codellama-7b,en
data_clumps_advanced_004,data_clumps,advanced,E-commerce,Data Clumps,1,45,1,95.46,1,0,1,9,Comments (as smell indicator);Dead Code;Duplicated Code;Long Method,1,0,codellama-7b,en
data_clumps_advanced_005,data_clumps,advanced,Finance,Data Clumps,1,37,2,100.0,1,0,0,9,Duplicated Code;Global State;Long Parameter List;Magic Numbers/Strings;Speculative Generality,1,0,codellama-7b,en
data_clumps_advanced_006,data_clumps,advanced,Healthcare,Data Clumps,1,69,13,69.32,8,0,0,13,Data Clumps;Dead Code;Duplicated Code;Long Method;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
data_clumps_basic_001,data_clumps,basic,E-commerce,Data Clumps,1,26,1,100.0,0,0,0,7,Data Clumps;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_clumps_basic_002,data_clumps,basic,Finance,Data Clumps,1,20,1,91.92,0,0,0,6,Data Clumps;Duplicated Code;Magic Numbers/Strings,1,1,codellama-7b,en
data_clumps_basic_003,data_clumps,basic,Healthcare,Data Clumps,1,69,2,71.55,1,1,0,9,Data Clumps;Duplicated Code;Long Method;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
data_clumps_basic_004,data_clumps,basic,Scientific Computing,Data Clumps,1,23,1,76.87,0,0,0,11,Duplicated Code;Global State;Magic Numbers/Strings,1,0,codellama-7b,en
data_clumps_basic_005,data_clumps,basic,General Software,Data Clumps,1,23,1,100.0,0,0,0,21,Comments (as smell indicator);Data Clumps;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_clumps_basic_006,data_clumps,basic,E-commerce,Data Clumps,1,39,1,93.71,0,0,0,30,Comments (as smell indicator);Data Clumps;Duplicated Code;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
data_clumps_intermediate_001,data_clumps,intermediate,Finance,Data Clumps,1,48,2,51.69,0,0,0,7,Duplicated Code;Long Parameter List,1,0,codellama-7b,en
data_clumps_intermediate_002,data_clumps,intermediate,Healthcare,Data Clumps,1,32,6,78.21,0,0,0,3,Global State;Long Parameter List;Speculative Generality,1,0,codellama-7b,en
data_clumps_intermediate_003,data_clumps,intermediate,Scientific Computing,Data Clumps,1,33,1,100.0,3,0,0,8,Comments (as smell indicator);Data Clumps;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_clumps_intermediate_004,data_clumps,intermediate,General Software,Data Clumps,1,45,1,100.0,1,0,0,19,Comments (as smell indicator);Deep Nesting;Global State;Long Method;Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
data_clumps_intermediate_005,data_clumps,intermediate,E-commerce,Data Clumps,1,33,1,100.0,6,4,0,7,Comments (as smell indicator);Data Clumps;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_clumps_intermediate_006,data_clumps,intermediate,Finance,Data Clumps,1,48,2,51.69,0,0,0,7,Duplicated Code;Long Parameter List,1,0,codellama-7b,en
dead_code_advanced_001,dead_code,advanced,Finance,Dead Code,0,288,0,,1,0,0,734,Duplicated Code,1,0,codellama-7b,en
dead_code_advanced_002,dead_code,advanced,Healthcare,Dead Code,1,38,2,100.0,2,0,1,37,Dead Code;Global State;Long Method;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
dead_code_advanced_003,dead_code,advanced,Scientific Computing,Dead Code,1,62,5,55.16,0,0,0,12,Duplicated Code,1,0,codellama-7b,en
dead_code_advanced_004,dead_code,advanced,General Software,Dead Code,1,158,2,80.57,9,8,0,81,Comments (as smell indicator);Data Class;Dead Code;Duplicated Code;Lazy Class;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
dead_code_advanced_005,dead_code,advanced,E-commerce,Dead Code,0,288,0,,1,0,0,734,Duplicated Code,1,0,codellama-7b,en
dead_code_basic_001,dead_code,basic,E-commerce,Dead Code,1,12,2,100.0,0,0,0,4,Duplicated Code;Speculative Generality,1,0,codellama-7b,en
dead_code_basic_002,dead_code,basic,Finance,Dead Code,1,14,2,68.04,0,0,0,3,Duplicated Code,1,0,codellama-7b,en
dead_code_basic_003,dead_code,basic,Healthcare,Dead Code,1,54,7,73.39,4,0,0,8,Comments (as smell indicator);Duplicated Code;Feature Envy;Long Method;Switch Statements,1,0,codellama-7b,en
dead_code_basic_004,dead_code,basic,Scientific Computing,Dead Code,1,18,2,70.42,0,0,0,1,Duplicated Code,1,0,codellama-7b,en
dead_code_basic_005,dead_code,basic,General Software,Dead Code,1,34,4,78.59,0,0,0,8,Duplicated Code;Speculative Generality;Switch Statements,1,0,codellama-7b,en
dead_code_basic_006,dead_code,basic,E-commerce,Dead Code,1,12,2,100.0,0,0,0,4,Duplicated Code;Speculative Generality,1,0,codellama-7b,en
dead_code_intermediate_001,dead_code,intermediate,Finance,Dead Code,1,124,7,62.8,13,0,0,126,Dead Code;Duplicated Code;God Class / Large Class;Long Parameter List;Magic Numbers/Strings;Speculative Generality;Temporary Field,1,1,codellama-7b,en
dead_code_intermediate_002,dead_code,intermediate,Healthcare,Dead Code,0,171,0,,1,0,0,370,Deep Nesting;Duplicated Code,1,0,codellama-7b,en
dead_code_intermediate_003,dead_code,intermediate,Scientific Computing,Dead Code,1,86,2,100.0,2,0,0,27,Data Clumps;Dead Code;Duplicated Code;Global State;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
dead_code_intermediate_004,dead_code,intermediate,General Software,Dead Code,1,147,0,100.0,148,0,0,8,Dead Code,1,1,codellama-7b,en
dead_code_intermediate_005,dead_code,intermediate,E-commerce,Dead Code,1,175,4,61.42,46,37,0,38,Dead Code;Duplicated Code;Global State;Lazy Class;Long Method;Magic Numbers/Strings;Message Chains,1,1,codellama-7b,en
deep_nesting_advanced_001,deep_nesting,advanced,Healthcare,Deep Nesting,1,111,97,25.67,98,12,0,3,Deep Nesting;Long Method;Switch Statements,1,1,codellama-7b,en
deep_nesting_advanced_002,deep_nesting,advanced,Scientific Computing,Deep Nesting,1,11,9,100.0,8,0,0,2,Deep Nesting;Long Parameter List,1,1,codellama-7b,en
deep_nesting_advanced_003,deep_nesting,advanced,General Software,Deep Nesting,1,10,8,100.0,7,0,0,2,Deep Nesting;Long Parameter List,1,1,codellama-7b,en
deep_nesting_advanced_004,deep_nesting,advanced,E-commerce,Deep Nesting,1,45,8,82.6,30,29,0,10,Dead Code;Deep Nesting;Global State;Long Method;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
deep_nesting_advanced_005,deep_nesting,advanced,Finance,Deep Nesting,1,11,9,100.0,7,0,0,1,Deep Nesting,1,1,codellama-7b,en
deep_nesting_advanced_006,deep_nesting,advanced,Healthcare,Deep Nesting,1,111,97,25.67,98,12,0,3,Deep Nesting;Long Method;Switch Statements,1,1,codellama-7b,en
deep_nesting_basic_001,deep_nesting,basic,E-commerce,Deep Nesting,1,47,16,54.52,12,0,0,17,Long Method;Long Parameter List;Magic Numbers/Strings;Switch Statements,1,0,codellama-7b,en
deep_nesting_basic_002,deep_nesting,basic,Finance,Deep Nesting,1,7,5,100.0,3,0,0,0,,1,0,codellama-7b,en
deep_nesting_basic_003,deep_nesting,basic,Healthcare,Deep Nesting,1,11,5,100.0,0,0,0,3,Deep Nesting;Long Parameter List,1,1,codellama-7b,en
deep_nesting_basic_004,deep_nesting,basic,Scientific Computing,Deep Nesting,0,15,0,,1,0,0,0,,1,0,codellama-7b,en
deep_nesting_basic_005,deep_nesting,basic,General Software,Deep Nesting,1,50,17,48.34,5,0,0,2,Long Method;Magic Numbers/Strings,1,0,codellama-7b,en
deep_nesting_basic_006,deep_nesting,basic,E-commerce,Deep Nesting,1,47,16,54.52,12,0,0,17,Long Method;Long Parameter List;Magic Numbers/Strings;Switch Statements,1,0,codellama-7b,en
deep_nesting_intermediate_001,deep_nesting,intermediate,Finance,Deep Nesting,1,28,8,92.27,2,0,0,2,Comments (as smell indicator);Long Method,1,0,codellama-7b,en
deep_nesting_intermediate_002,deep_nesting,intermediate,Healthcare,Deep Nesting,1,21,8,61.17,5,1,0,5,Deep Nesting;Global State;Long Method;Switch Statements,1,1,codellama-7b,en
deep_nesting_intermediate_003,deep_nesting,intermediate,Scientific Computing,Deep Nesting,1,32,9,100.0,2,1,0,4,Global State;Long Method;Message Chains,1,0,codellama-7b,en
deep_nesting_intermediate_004,deep_nesting,intermediate,General Software,Deep Nesting,1,57,1,82.63,1,0,0,12,Comments (as smell indicator);Dead Code;Global State;Long Method;Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
deep_nesting_intermediate_005,deep_nesting,intermediate,E-commerce,Deep Nesting,1,98,8,80.19,21,6,6,13,Dead Code;Duplicated Code;Global State,1,0,codellama-7b,en
deep_nesting_intermediate_006,deep_nesting,intermediate,Finance,Deep Nesting,1,28,8,92.27,2,0,0,2,Comments (as smell indicator);Long Method,1,0,codellama-7b,en
duplicated_code_advanced_001,duplicated_code,advanced,General Software,Duplicated Code,1,69,10,67.47,18,0,0,18,Duplicated Code;Feature Envy;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
duplicated_code_advanced_002,duplicated_code,advanced,E-commerce,Duplicated Code,1,59,5,66.64,0,0,0,20,Duplicated Code;Lazy Class;Long Parameter List;Switch Statements,1,1,codellama-7b,en
duplicated_code_advanced_003,duplicated_code,advanced,Finance,Duplicated Code,1,112,2,79.47,3,0,3,46,Data Class;Dead Code;Duplicated Code;Lazy Class;Long Method;Long Parameter List;Magic Numbers/Strings;Speculative Generality,1,1,codellama-7b,en
duplicated_code_advanced_004,duplicated_code,advanced,Healthcare,Duplicated Code,1,84,4,51.33,5,0,0,32,Data Class;Dead Code;Deep Nesting;Duplicated Code;Global State;Lazy Class;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
duplicated_code_advanced_005,duplicated_code,advanced,Scientific Computing,Duplicated Code,1,66,6,73.25,1,0,0,7,Dead Code;Duplicated Code;Long Method,1,1,codellama-7b,en
duplicated_code_advanced_006,duplicated_code,advanced,General Software,Duplicated Code,1,69,10,67.47,18,0,0,18,Duplicated Code;Feature Envy;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
duplicated_code_basic_001,duplicated_code,basic,E-commerce,Duplicated Code,1,10,1,100.0,0,0,0,3,Duplicated Code,1,1,codellama-7b,en
duplicated_code_basic_002,duplicated_code,basic,Finance,Duplicated Code,1,10,1,68.58,1,0,0,4,Dead Code;Duplicated Code,1,1,codellama-7b,en
duplicated_code_basic_003,duplicated_code,basic,Healthcare,Duplicated Code,1,21,1,100.0,0,0,0,1,Duplicated Code,1,1,codellama-7b,en
duplicated_code_basic_004,duplicated_code,basic,Scientific Computing,Duplicated Code,1,28,2,100.0,0,0,0,3,Duplicated Code,1,1,codellama-7b,en
duplicated_code_basic_005,duplicated_code,basic,General Software,Duplicated Code,1,51,5,45.4,4,0,0,19,Duplicated Code;Magic Numbers/Strings,1,1,codellama-7b,en
duplicated_code_basic_006,duplicated_code,basic,E-commerce,Duplicated Code,1,32,3,100.0,3,3,0,7,Duplicated Code;Feature Envy;Global State,1,1,codellama-7b,en
duplicated_code_basic_007,duplicated_code,basic,Finance,Duplicated Code,1,10,1,100.0,0,0,0,3,Duplicated Code,1,1,codellama-7b,en
duplicated_code_intermediate_001,duplicated_code,intermediate,Healthcare,Duplicated Code,1,50,3,86.35,3,3,0,8,Comments (as smell indicator);Data Clumps;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
duplicated_code_intermediate_002,duplicated_code,intermediate,Scientific Computing,Duplicated Code,1,56,3,46.47,2,2,0,8,Data Clumps;Duplicated Code;Magic Numbers/Strings,1,1,codellama-7b,en
duplicated_code_intermediate_003,duplicated_code,intermediate,General Software,Duplicated Code,1,111,5,61.47,3,0,0,55,Data Clumps;Dead Code;Duplicated Code;Feature Envy;God Class / Large Class;Long Parameter List;Speculative Generality,1,1,codellama-7b,en
duplicated_code_intermediate_004,duplicated_code,intermediate,E-commerce,Duplicated Code,1,36,2,61.33,0,0,0,7,Duplicated Code;Message Chains,1,1,codellama-7b,en
duplicated_code_intermediate_005,duplicated_code,intermediate,Finance,Duplicated Code,1,89,0,100.0,91,0,0,8,Dead Code,1,0,codellama-7b,en
duplicated_code_intermediate_006,duplicated_code,intermediate,Healthcare,Duplicated Code,1,50,3,86.35,3,3,0,8,Comments (as smell indicator);Data Clumps;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
duplicated_code_intermediate_007,duplicated_code,intermediate,Scientific Computing,Duplicated Code,1,56,3,46.47,2,2,0,8,Data Clumps;Duplicated Code;Magic Numbers/Strings,1,1,codellama-7b,en
feature_envy_advanced_001,feature_envy,advanced,Healthcare,Feature Envy,1,24,7,91.49,1,0,0,3,Comments (as smell indicator);Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_advanced_002,feature_envy,advanced,Scientific Computing,Feature Envy,1,67,13,80.64,3,0,0,3,Comments (as smell indicator);Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_advanced_003,feature_envy,advanced,General Software,Feature Envy,1,21,2,100.0,0,0,0,1,Comments (as smell indicator),1,0,codellama-7b,en
feature_envy_advanced_004,feature_envy,advanced,E-commerce,Feature Envy,1,31,2,100.0,1,1,0,4,Comments (as smell indicator);Feature Envy;Long Method;Long Parameter List,1,1,codellama-7b,en
feature_envy_advanced_005,feature_envy,advanced,Finance,Feature Envy,1,35,2,100.0,1,0,1,5,Comments (as smell indicator);Dead Code;Feature Envy;Long Method;Long Parameter List,1,1,codellama-7b,en
feature_envy_advanced_006,feature_envy,advanced,Healthcare,Feature Envy,1,24,7,91.49,1,0,0,3,Comments (as smell indicator);Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_basic_001,feature_envy,basic,E-commerce,Feature Envy,1,3,2,100.0,0,0,0,2,Feature Envy;Lazy Class,1,1,codellama-7b,en
feature_envy_basic_002,feature_envy,basic,Finance,Feature Envy,1,19,3,100.0,0,0,0,2,Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_basic_003,feature_envy,basic,Healthcare,Feature Envy,1,11,4,63.42,0,0,0,2,Feature Envy;Magic Numbers/Strings,1,1,codellama-7b,en
feature_envy_basic_004,feature_envy,basic,Scientific Computing,Feature Envy,1,11,2,100.0,5,1,4,5,Dead Code;Feature Envy,1,1,codellama-7b,en
feature_envy_basic_005,feature_envy,basic,General Software,Feature Envy,1,43,6,87.42,1,0,0,16,Comments (as smell indicator);Duplicated Code;Long Method;Speculative Generality,1,0,codellama-7b,en
feature_envy_basic_006,feature_envy,basic,E-commerce,Feature Envy,1,16,3,81.62,2,0,2,3,Dead Code;Feature Envy,1,1,codellama-7b,en
feature_envy_intermediate_001,feature_envy,intermediate,Finance,Feature Envy,1,90,3,61.79,1,0,0,39,Dead Code;Duplicated Code;Feature Envy,1,1,codellama-7b,en
feature_envy_intermediate_002,feature_envy,intermediate,Healthcare,Feature Envy,0,175,0,,1,0,0,1,Long Method,1,0,codellama-7b,en
feature_envy_intermediate_003,feature_envy,intermediate,Scientific Computing,Feature Envy,1,26,8,100.0,0,0,0,2,Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_intermediate_004,feature_envy,intermediate,General Software,Feature Envy,1,190,4,66.44,20,0,19,11,Comments (as smell indicator);Dead Code;Feature Envy;Long Method,1,1,codellama-7b,en
feature_envy_intermediate_005,feature_envy,intermediate,E-commerce,Feature Envy,1,14,7,100.0,0,0,0,1,Feature Envy,1,1,codellama-7b,en
feature_envy_intermediate_006,feature_envy,intermediate,Finance,Feature Envy,1,90,3,61.79,1,0,0,39,Dead Code;Duplicated Code;Feature Envy,1,1,codellama-7b,en
global_state_advanced_001,global_state,advanced,Finance,Global State,1,124,9,69.61,5,4,0,17,Comments (as smell indicator);Duplicated Code;Global State;Long Method,1,1,codellama-7b,en
global_state_advanced_002,global_state,advanced,Healthcare,Global State,1,78,1,100.0,1,0,0,41,Data Clumps;Duplicated Code;Global State;Long Parameter List,1,1,codellama-7b,en
global_state_advanced_003,global_state,advanced,Scientific Computing,Global State,1,67,1,83.53,13,0,0,36,Dead Code;Duplicated Code;Global State,1,1,codellama-7b,en
global_state_advanced_004,global_state,advanced,General Software,Global State,1,103,0,100.0,0,0,0,8,Global State,1,1,codellama-7b,en
global_state_advanced_005,global_state,advanced,E-commerce,Global State,1,124,9,69.61,5,4,0,17,Comments (as smell indicator);Duplicated Code;Global State;Long Method,1,1,codellama-7b,en
global_state_basic_001,global_state,basic,E-commerce,Global State,1,47,1,78.97,6,1,0,25,Dead Code;Duplicated Code;Global State,1,1,codellama-7b,en
global_state_basic_002,global_state,basic,Finance,Global State,1,41,1,83.15,1,0,0,4,Dead Code;Duplicated Code;Long Method,1,0,codellama-7b,en
global_state_basic_003,global_state,basic,Healthcare,Global State,1,26,1,62.15,4,0,0,16,Dead Code;Duplicated Code;Global State,1,1,codellama-7b,en
global_state_basic_004,global_state,basic,Scientific Computing,Global State,1,25,1,100.0,0,0,0,15,Duplicated Code,1,0,codellama-7b,en
global_state_basic_005,global_state,basic,General Software,Global State,1,35,3,57.2,1,1,0,12,Duplicated Code;Global State,1,1,codellama-7b,en
global_state_basic_006,global_state,basic,E-commerce,Global State,1,47,1,78.97,6,1,0,25,Dead Code;Duplicated Code;Global State,1,1,codellama-7b,en
global_state_intermediate_001,global_state,intermediate,Finance,Global State,1,96,7,72.91,2,0,0,20,Data Clumps;Dead Code;Global State;Long Method;Long Parameter List;Magic Numbers/Strings,1,1,codellama-7b,en
global_state_intermediate_002,global_state,intermediate,Healthcare,Global State,0,154,0,,2,0,0,193,Duplicated Code;Magic Numbers/Strings,1,0,codellama-7b,en
global_state_intermediate_003,global_state,intermediate,Scientific Computing,Global State,1,49,1,100.0,35,2,0,28,Dead Code;Duplicated Code;Global State,1,1,codellama-7b,en
global_state_intermediate_004,global_state,intermediate,General Software,Global State,1,31,1,100.0,2,0,0,41,Duplicated Code,1,0,codellama-7b,en
global_state_intermediate_005,global_state,intermediate,E-commerce,Global State,1,51,4,95.43,3,3,0,10,Comments (as smell indicator);Global State;Long Method;Magic Numbers/Strings,1,1,codellama-7b,en
